Name,Longitude,Latitude,metric
NDIEUMB FALL,-16.4243102193,15.710180294,9285.9786864
MAKA MOR MADICKE,-16.4994738908,15.7528105535,1367.37401329
MERINA DAKHAR,-16.432428479000002,15.6326203817,508.42939109400004
KEUR NDARY,-16.5128756185,15.6501155106,556.702688745
GATY TOYE II,-16.3876979041,15.7811354157,2373.20541808
KEUR KOURA,-16.5355146586,15.703923061500001,5826.66399339
NDIAYENE PEULH II,-16.4286317959,15.7468905734,3379.56110709
MADAYANA MADE,-16.429781991400002,15.7993116625,3256.38602969
NGUEREUNG PEULH I,-16.386130909400002,15.6555590735,3380.81243544
KEUR NDIAYE,-16.4666907788,15.7736088779,3380.81243544
DIOKOUL WADE,-16.452851755799998,15.7868589382,938.6936997089999
DAROU GUEYE,-16.4287401867,15.6345575432,493.03087611800004
NDADE,-16.443081286600002,15.751391653599999,2601.58766088
BAITY GUEYE,-16.408091838900003,15.7050334421,4519.13658157
SANTHIOU DIADJI,-16.376404288699998,15.7379359447,3380.81243544
NDIELEGNE,-16.5028032833,15.7791682283,2045.60899111
NGNANDOUL II,-16.3677754624,15.6995569472,3380.81243544
THISNOR,-16.4984159842,15.8064331763,493.12370842
SAME NDIAYE,-16.3858526982,15.6766900108,7605.2531171
THIELEMANE,-16.4140864693,15.822390249000001,556.689303763
DAO II,-16.549432338,15.6651820605,2600.94355193
DIAMAGUEUNE OUOLOF,-16.3845206448,15.704095347300001,3380.81243544
NGOUFAT II,-16.4197805503,15.7359338025,3380.81243544
DIAMAGUEUNE PEULH,-16.4583518928,15.750002051300001,3380.81243544
KOGNE KOGNE II,-16.4807593131,15.6453410978,493.10828693
BAYAKH PEULH,-16.4198243353,15.6701694864,3950.18755328
NDIAGNE FALL,-16.4880528309,15.815283683299999,508.380890126
NGONDAM,-16.4738999747,15.6784299455,1069.08587326
GABANE OUOLOF,-16.4790147363,15.7282309584,5827.74114732
GABANE PEULH I,-16.4680162068,15.734355481400002,3380.81243544
THIOWORE,-16.4531526672,15.730821345499999,32910.4668333
THIAR SECK,-16.4492465675,15.7084658323,3380.81243544
KEUR MANDIOL,-16.4455245849,15.764185528199999,2031.31149842
DALDIAM,-16.4666909354,15.6625079969,508.42939109400004
SAGUE DJIBY YAGUE,-16.562074693499998,15.717808483499999,2273.08185368
WAKHALDIAM,-16.3930698137,15.751391760399999,1932.1189557
TARE,-16.5278745717,15.7904079948,9036.85676025
MBAYE MBAYE MAPATHE,-16.3715314843,15.6742995646,3380.81243544
NDIAYENE SANTHIE,-16.422524721,15.759430395899999,1706.30228342
DAO I,-16.5444250715,15.6749523447,956.7650057789999
DALDAGOU,-16.510894045,15.738622702699999,2273.20222846
BOUNDOU WOULA II,-16.5788013726,15.6657599301,3380.81243544
SAGNE,-16.5629671662,15.665051837,1932.32086861
POTOU I,-16.5240428346,15.723018035,13660.5381975
DEUCK BOUREYE,-16.384740448,15.8055471804,3380.81243544
BEUT LAMINE,-16.486132705699998,15.662507978499999,3380.81243544
KEUR AMADOU MOUNA,-16.550022082,15.743051850999999,3380.81243544
THIAR SENE,-16.4485238416,15.7002534149,3380.81243544
NDOUNE,-16.4335391924,15.692557873299998,3380.81243544
NDIAYENE PEULH I,-16.4318918622,15.754043266400002,2273.08185368
GNANDOUL I,-16.3736585441,15.7002182572,3380.81243544
GATY TOYE I,-16.3894664349,15.7730412399,844.721574317
SANTHIOU DIAOBE,-16.5139118679,15.6513986899,1069.27430564
KEUR MALICK FALL,-16.5486337799,15.7472213611,826.5157517089999
LEONA,-16.459794852,15.7204712806,12956.493264700002
NDIALAKHAR SAMB,-16.4218786198,15.7737820274,1164.42742191
OUASSOUMASSAL,-16.5824494912,15.6726573569,1932.1189557
SAGUE SAYORO,-16.5430831142,15.723614413,956.849521771
THIAR PEULH I,-16.4482237219,15.6970619073,3380.81243544
MEDINE,-16.5750241061,15.684726228399999,732.38910447
SYERE OUOLOF,-16.446632181600002,15.665973129700001,3380.81243544
DABAYE NDIAYE,-16.5153750806,15.6488532683,508.380890126
SANTHIOU DABAYE,-16.5069633313,15.6486188163,683.906065603
MERINA NDIAYE PEULH,-16.3855668379,15.7020539479,620.367399273
BAYAKH GAYE,-16.403514331900002,15.6669161853,3379.14612241
SYERE PEULH,-16.4506226649,15.6715718758,3380.81243544
NDIOBENE,-16.3951862662,15.7242372449,2373.20541808
AINOU MERINA,-16.518071903699997,15.706945403199999,3380.81243544
MAKA NDIAYE,-16.4000049256,15.6547394798,826.204418838
SAM SAM,-16.483351832,15.7152842902,1069.17996955
NORAYNI,-16.5190859081,15.718863900799999,492.99976972800005
MAKA TARE,-16.4078993609,15.7937412458,2030.93295554
GNAYAM,-16.5455110695,15.7545065101,3951.59602872
NGOUFAT I,-16.4199572101,15.7299146776,3380.81243544
POTOU II,-16.5240730972,15.727082996400002,938.921040687
NDEMBA I,-16.4047785841,15.676691746800001,956.7650057789999
KOGNE KOGNE I,-16.4851775896,15.6447388255,1051.58699148
KEUR PATHE PEULH I,-16.481972793,15.6847257943,1069.03891484
GALOU DAMEL,-16.5853575081,15.668259059,3380.81243544
MOUREL,-16.5001649958,15.7713810458,4622.7579946999995
KEUR MOR ARENE,-16.3808530975,15.7038300881,620.502594694
GABANE PEULH II,-16.4715416795,15.7379548874,2373.20541808
THIARENE SARR I,-16.4571373752,15.8328649226,938.6370452230001
SOUKOUNDOU,-16.4967119625,15.7164780284,3380.81243544
NGUEREUNG OUOLOF,-16.3919766368,15.647724504700001,3380.81243544
GABANE OUOLOF,-16.4686014947,15.7352632848,5827.74114732
NDEMBA II,-16.404779136,15.6796431242,1932.52329741
RAYETTE BAMBA,-16.4886063516,15.6821346636,556.702688745
MBAYE MBAYE MAYORO,-16.3736299776,15.7458322905,620.387898498
MBAMBA,-16.5166928477,15.675006968900002,683.94294267
NDIAYENE OUOLOF,-16.424869975,15.7559545494,3380.81243544
YEUGOUL MBOYO,-16.502803344,15.719444311199998,3380.81243544
THIAR NDIAYE II,-16.450217086800002,15.7060680361,3380.81243544
TOBY,-16.377985877,15.679759296099999,508.55118197
MERINA SANTHIE,-16.424288342,15.6331516629,508.42939109400004
SAGUE SATHIEL,-16.5728052752,15.6915622945,8018.23488122
GOBAR,-16.5324402519,15.7789468152,3603.31675438
WEKHE,-16.4712756725,15.8250845155,826.359787978
KEUR GOUMBA FAYE,-16.5619719209,15.7082333268,3380.81243544
NGUEREUNG PEULH I,-16.387850462,15.6543524771,3380.81243544
BOUNDOU WOULA I,-16.5713073433,15.6636715005,3380.81243544
CHERIF,-16.4003475367,15.622175759700001,508.380890126
