X,Y,mvmax
0.2822705674,0.2641096866,15844.3815095269
0.9215987116,0.2526777050,15844.3815095269
0.7155773898,0.1508756320,15844.3815095269
0.5755274476,0.8139439945,15844.3815095269
0.9132974923,0.7457943868,15844.3815095269
0.7212437140,0.2727594306,15844.3815095269
0.1618632690,0.8683744821,15844.3815095269
0.3332551302,0.1284197787,15844.3815095269
0.0469326246,0.2385362643,15844.3815095269
0.6268940058,0.1087960770,15844.3815095269
0.2324100280,0.7558044273,15844.3815095269
0.6687847494,0.3303779729,15844.3815095269
0.7500964243,0.8771372691,15844.3815095269
0.3417793015,0.5918817261,15844.3815095269
0.2767972337,0.0595486604,15844.3815095269
0.6876814082,0.5272215556,15844.3815095269
0.5858258915,0.9854596035,15844.3815095269
0.7680577237,0.8654872820,15844.3815095269
0.6566654773,0.3601105679,15844.3815095269
0.6080013357,0.3755228437,15844.3815095269
0.1275019259,0.1215929223,15844.3815095269
0.6744827294,0.2490040530,15844.3815095269
0.0022993889,0.9871888648,15844.3815095269
0.4292045710,0.8228809783,15844.3815095269
0.5696769281,0.2150183465,15844.3815095269
0.5154434016,0.0200073407,15844.3815095269
0.9375943847,0.3951368185,15844.3815095269
0.6131724847,0.5088022446,15844.3815095269
0.5633463233,0.1751960299,15844.3815095269
0.1934855825,0.4181064445,15844.3815095269
0.4111577132,0.5070026615,15844.3815095269
0.8779886619,0.8722743827,15844.3815095269
0.2110933907,0.9272784368,15844.3815095269
0.7488260982,0.8798587741,15844.3815095269
0.2110739367,0.5077248636,15844.3815095269
0.1822744598,0.6164621949,15844.3815095269
0.0282088039,0.8008907541,15844.3815095269
0.8799879793,0.6000192097,15844.3815095269
0.0347546517,0.8644225401,15844.3815095269
0.1396780511,0.0685051384,15844.3815095269
0.9747323042,0.7745163035,15844.3815095269
0.3761126179,0.5072124910,15844.3815095269
0.6935828124,0.7027272951,15844.3815095269
0.3557601138,0.4151318777,15844.3815095269
0.5366336843,0.6314109424,15844.3815095269
0.7891049202,0.6272455113,15844.3815095269
0.5179746357,0.9704008150,15844.3815095269
0.8752138921,0.7833953772,15844.3815095269
0.9427086230,0.8889474226,15844.3815095269
0.8311461717,0.4339125944,15844.3815095269
0.4035743727,0.8894000074,15844.3815095269
0.6151315096,0.2146988231,15844.3815095269
0.7964910043,0.6683968019,15844.3815095269
0.1978347614,0.4299530063,15844.3815095269
0.0518948747,0.7975391853,15844.3815095269
0.8940616512,0.7101743700,15844.3815095269
0.2491729791,0.7671533324,15844.3815095269
0.2318600243,0.4969214802,15844.3815095269
0.8548070815,0.2465955666,15844.3815095269
0.9587014998,0.0436957265,15844.3815095269
0.6292031549,0.6305399280,15844.3815095269
0.4088533720,0.3916656323,15844.3815095269
0.9321436310,0.9010842451,15844.3815095269
0.2485618638,0.6237726404,15844.3815095269
0.2780538529,0.2988435467,15844.3815095269
0.1421161876,0.0873534868,15844.3815095269
0.2349699616,0.5188229648,15844.3815095269
0.8926186656,0.3207482361,15844.3815095269
0.8825669255,0.7455064929,15844.3815095269
0.2525225036,0.2430730410,15844.3815095269
0.1262909413,0.1604179492,15844.3815095269
0.0381325236,0.4774310553,15844.3815095269
0.6300108610,0.4850619040,15844.3815095269
0.5379740048,0.5087408739,15844.3815095269
0.2239859970,0.7140000543,15844.3815095269
0.6059191543,0.3259465147,15844.3815095269
0.7774464526,0.9797835847,15844.3815095269
0.3921555299,0.1592687122,15844.3815095269
0.9643487806,0.6274187067,15844.3815095269
0.3294871018,0.0494230479,15844.3815095269
0.7278999903,0.1622767134,15844.3815095269
0.6941452476,0.1565034549,15844.3815095269
0.2597101518,0.3681484817,15844.3815095269
0.7772196309,0.0698366351,15844.3815095269
0.6186364198,0.4449540095,15844.3815095269
0.8766067627,0.7954316219,15844.3815095269
0.6312759097,0.6449867266,15844.3815095269
0.7211454841,0.4946115949,15844.3815095269
0.6119973189,0.4743340088,15844.3815095269
0.9710915717,0.8789376989,15844.3815095269
0.1144369594,0.4492116053,15844.3815095269
0.2264575762,0.6788267911,15844.3815095269
0.9406331629,0.1365094975,15844.3815095269
0.5328039514,0.9044504398,15844.3815095269
0.5422376663,0.1952440317,15844.3815095269
0.2809555384,0.9981995833,15844.3815095269
0.2433051029,0.1759724816,15844.3815095269
0.6339894009,0.9871911922,15844.3815095269
0.9433878411,0.0338091409,15844.3815095269
0.4708293644,0.8718423546,15844.3815095269
